Volume,Subject,Session,Task,Run,Filepath
521,sub-10831,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10831/ses-01/func/sub-10831_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
522,sub-10831,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10831/ses-01/func/sub-10831_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
523,sub-10831,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10831/ses-01/func/sub-10831_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
524,sub-10831,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10831/ses-01/func/sub-10831_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
525,sub-10834,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
526,sub-10834,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
527,sub-10834,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
528,sub-10834,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
529,sub-10834,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
530,sub-10834,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
531,sub-10834,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
532,sub-10834,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10834/ses-01/func/sub-10834_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
533,sub-10836,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10836/ses-01/func/sub-10836_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
534,sub-10836,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10836/ses-01/func/sub-10836_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
535,sub-10836,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10836/ses-01/func/sub-10836_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
536,sub-10838,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
537,sub-10838,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
538,sub-10838,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
539,sub-10838,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
540,sub-10838,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
541,sub-10838,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
542,sub-10838,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
543,sub-10838,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10838/ses-01/func/sub-10838_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
544,sub-10843,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
545,sub-10843,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
546,sub-10843,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
547,sub-10843,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
548,sub-10843,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
549,sub-10843,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
550,sub-10843,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
551,sub-10843,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10843/ses-01/func/sub-10843_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
552,sub-10850,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
553,sub-10850,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
554,sub-10850,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
555,sub-10850,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
556,sub-10850,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
557,sub-10850,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
558,sub-10850,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
559,sub-10850,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10850/ses-01/func/sub-10850_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
560,sub-10854,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
561,sub-10854,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
562,sub-10854,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
563,sub-10854,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
564,sub-10854,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
565,sub-10854,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
566,sub-10854,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
567,sub-10854,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10854/ses-01/func/sub-10854_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
568,sub-10857,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
569,sub-10857,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
570,sub-10857,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
571,sub-10857,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
572,sub-10857,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
573,sub-10857,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
574,sub-10857,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
575,sub-10857,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10857/ses-01/func/sub-10857_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
576,sub-10858,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
577,sub-10858,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
578,sub-10858,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
579,sub-10858,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
580,sub-10858,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
581,sub-10858,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
582,sub-10858,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
583,sub-10858,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10858/ses-01/func/sub-10858_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
584,sub-10860,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
585,sub-10860,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
586,sub-10860,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
587,sub-10860,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
588,sub-10860,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
589,sub-10860,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
590,sub-10860,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
591,sub-10860,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10860/ses-01/func/sub-10860_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
592,sub-10862,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
593,sub-10862,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
594,sub-10862,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
595,sub-10862,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
596,sub-10862,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
597,sub-10862,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
598,sub-10862,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
599,sub-10862,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10862/ses-01/func/sub-10862_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
600,sub-10863,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
601,sub-10863,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
602,sub-10863,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
603,sub-10863,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
604,sub-10863,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
605,sub-10863,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
606,sub-10863,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
607,sub-10863,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10863/ses-01/func/sub-10863_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
608,sub-10866,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
609,sub-10866,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
610,sub-10866,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
611,sub-10866,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
612,sub-10866,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
613,sub-10866,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
614,sub-10866,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
615,sub-10866,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10866/ses-01/func/sub-10866_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
616,sub-10875,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
617,sub-10875,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
618,sub-10875,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
619,sub-10875,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
620,sub-10875,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
621,sub-10875,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
622,sub-10875,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
623,sub-10875,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10875/ses-01/func/sub-10875_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
624,sub-10881,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10881/ses-01/func/sub-10881_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
625,sub-10881,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10881/ses-01/func/sub-10881_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
626,sub-10881,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10881/ses-01/func/sub-10881_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
627,sub-10881,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10881/ses-01/func/sub-10881_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
628,sub-10881,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10881/ses-01/func/sub-10881_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
629,sub-10886,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10886/ses-01/func/sub-10886_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
630,sub-10886,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10886/ses-01/func/sub-10886_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
631,sub-10886,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10886/ses-01/func/sub-10886_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
632,sub-10886,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10886/ses-01/func/sub-10886_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
633,sub-10886,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10886/ses-01/func/sub-10886_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
634,sub-10886,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10886/ses-01/func/sub-10886_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
635,sub-10887,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
636,sub-10887,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
637,sub-10887,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
638,sub-10887,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
639,sub-10887,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
640,sub-10887,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
641,sub-10887,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
642,sub-10887,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10887/ses-01/func/sub-10887_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
643,sub-10896,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10896/ses-01/func/sub-10896_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
644,sub-10896,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10896/ses-01/func/sub-10896_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
645,sub-10896,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10896/ses-01/func/sub-10896_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
646,sub-10896,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10896/ses-01/func/sub-10896_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
